zodiac_sign,count,mean,std,min,25%,50%,75%,max,date
pisces,100.0,-0.13659383098220032,1.254408773117706,-4.936389299542491,0.0,0.0,0.0,3.1374332961064217,11/14/2020 AM
cancer,100.0,-1.3692987170171664,2.060052161174875,-5.604004381041667,-2.3718800424294355,-0.9930257444577568,0.0,4.437738297762585,11/14/2020 AM
libra,100.0,0.7144365863835848,2.001458019048709,-4.2974256145011065,0.0,0.595530808381026,1.8641126184559635,5.481750784588045,11/14/2020 PM
leo,100.0,0.7104018247014133,1.876628777974415,-8.375768177787434,0.0,0.0,1.817063316530444,6.49029271562583,11/14/2020 PM
capricorn,100.0,0.5638507423520032,2.016274952367683,-3.821832503360661,-0.5687079737797663,0.0,1.253392550260518,4.596961578141508,11/14/2020 PM
virgo,100.0,0.5080691505502922,1.4220129566172954,-2.9440199188392997,0.0,0.163134284368897,0.8909823918967382,5.791041989577288,11/14/2020 PM
aries,100.0,0.4162165577314325,1.4889467412417337,-3.45675662339912,-0.11437756152763795,0.0,1.2983400665864466,3.18533467960581,11/14/2020 PM
gemini,100.0,0.3741466618439132,1.7498744185892812,-3.5631232395051424,-0.6475693381152356,0.0,1.169853511241233,5.481750784588045,11/14/2020 PM
sagittarius,100.0,0.19379690536422356,1.840230030786508,-6.690352951316648,-0.22272918220309054,0.0,1.274011614018921,6.696876668086972,11/14/2020 PM
aqaurius,100.0,0.1876509373347154,2.3376691625672064,-4.165905512965827,-0.5003527029444429,0.5706849910366146,1.590393055385409,4.628645678871687,11/14/2020 PM
taurus,100.0,0.12504629482957272,1.8080599618161013,-5.30744882224305,-0.5342348544824129,0.0,1.3878585333454962,5.117585712603458,11/14/2020 PM
scorpio,100.0,-0.09997077689548436,1.6237633975701218,-4.304922994088619,-0.4793405159441514,0.0,0.5844014509456092,4.86315789440301,11/14/2020 PM
pisces,100.0,-0.22406006641739976,1.4126493655247734,-3.7966457635298982,-1.0110473416780918,-0.3619614102834993,0.3858664400212548,4.052898697042272,11/14/2020 PM
cancer,100.0,-0.5609667019639817,1.6068598684670878,-3.45675662339912,-2.4467021470562167,0.0,0.0,3.131979577152395,11/14/2020 PM
